X,Y,Ye,abs(Y - Ye)
0.0,1,0.0,1.0
0.1,0.909675,0.004837418035959495,0.9048375819640405
0.2,0.8374618028125,0.018730753077981777,0.8187310497345183
0.30000000000000004,0.7816368440023556,0.04081822068171792,0.7408186233206376
0.4,0.7406405778349814,0.07032004603563935,0.670320531799342
0.5,0.7130618688467599,0.10653065971263342,0.6065312091341265
0.6000000000000001,0.6976238687526302,0.14881163609402648,0.5488122326586037
0.7000000000000001,0.693171237342458,0.19658530379140954,0.49658593355104846
0.8,0.6986585794688563,0.2493289641172216,0.44932961535163474
0.9,0.7131399824001513,0.30656965974059913,0.4065703226595522
1.0,0.735759548824997,0.36787944117144233,0.3678801076535546
1.1,0.7657428307599382,0.43287108369807964,0.33287174706185857
1.2000000000000002,0.8023890786277456,0.5011942119122021,0.3011948667155434
1.3,0.8450642279328328,0.5725317930340126,0.2725324348988202
1.4000000000000001,0.8931945533421746,0.6465969639416066,0.24659758940056797
1.5,0.9462609266597499,0.7231301601484298,0.22313076651132013
1.6,1.0037936212264915,0.8018965179946554,0.20189710323183607
1.7000000000000002,1.0653676107465255,0.8826835240527348,0.18268408669379077
1.8,1.1305983154888593,0.9652988882215866,0.16529942726727265
1.9000000000000001,1.1991377532911507,1.0495686192226352,0.14956913406851546
2.0,1.2706710568435815,1.1353352832366128,0.1353357736069687
2.1,1.3449133223967042,1.222456428252982,0.1224568941437223
2.2,1.4216067583541279,1.310803158362334,0.11080359999179379
2.3000000000000003,1.5005181052122532,1.400258843722804,0.10025926148944908
2.4000000000000004,1.581436301024992,1.4907179532894128,0.0907183477355793
2.5,1.6641703690287013,1.5820849986238987,0.08208537040480257
2.6,1.7485475062860076,1.6742735782143339,0.07427392807167377
2.7,1.8344113542190654,1.76720551273975,0.06720584147931552
2.8000000000000003,1.9216204337231937,1.8608100626252182,0.06081037109797549
2.9000000000000004,2.0100467291990105,1.9550232200564075,0.05502350914260301
3.0,2.09957440733161,2.049787068367864,0.049787338963745764
3.1,2.1900986577939157,2.1450492023935577,0.045049455400357985
3.2,2.2815246442716024,2.2407622039783663,0.04076244029323606
3.3000000000000003,2.3737665553111063,2.3368831674012402,0.036883387909866006
3.4000000000000004,2.4667467454913132,2.4333732699603265,0.033373475530986685
3.5,2.560394958323496,2.5301973834223186,0.030197574901177582
3.6,2.6546476231020364,2.6273237224472927,0.02732390065474366
3.7,2.749447218668589,2.7247235264703398,0.024723692198249214
3.8000000000000003,2.8447416977220397,2.822370771856166,0.022370925865873748
3.9000000000000004,2.9404839659125663,2.920241911445805,0.020242054466761417
4.0,3.036631410506412,3.018315638888734,0.018315771617677612
4.1000000000000005,3.1331454739040954,3.1165726754017617,0.01657279850233362
4.2,3.229991267743697,3.214995576820478,0.014995690923218952
4.3,3.229991267743697,3.3135685590122006,0.08357729126850355
4.4,3.424554777674113,3.412277339903069,0.012277437771044397
4.5,3.5222180836437005,3.5111089965382423,0.011109087105458215
4.6000000000000005,3.620103755258957,3.6100518357446343,0.010051919514322716
4.7,3.7181906316491267,3.709095277101696,0.009095354547430823
4.800000000000001,3.8164595656648164,3.8082297470490207,0.008229818615795637
4.9,3.914893232247238,3.9074465830709246,0.007446649176313436
5.0,4.01347595503351,4.006737946999086,0.006738008034424148
5.1000000000000005,4.112193549462633,4.106096746565516,0.006096802897117115
5.2,4.211033180811895,4.205516564420761,0.005516616391133766
5.300000000000001,4.309983235742883,4.3049915939069106,0.004991641835972338
5.4,4.4090332060715,4.404516580942613,0.004516625128887064
5.5,4.508173583598721,4.504086771438464,0.0040868121602564145
5.6000000000000005,4.607395764949507,4.603697863716484,0.0036979012330231598
5.7,4.706691965467499,4.703345965457472,0.0033460000100271614
5.800000000000001,4.806055141303697,4.803027554745377,0.003027586558320472
5.9,4.905478918919384,4.902739444818769,0.0027394741006148138
6.0,5.004957531297717,5.002478752176667,0.002478779121050323
6.1000000000000005,5.1044857602255975,5.102242867719486,0.002242892506111538
6.2,5.204058884068129,5.202029430636296,0.002029453431832806
